Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0,03106;2,58079
0,0311;2,5847
0,03115;2,58858
0,0312;2,59251
0,03124;2,59348
0,03128;2,59497
0,03132;2,59615
0,03136;2,6008
0,0314;2,60441
0,03144;2,6081
0,03148;2,61076
0,03153;2,61372
0,03157;2,61626
0,03161;2,61768
0,03166;2,62016
0,03171;2,62667
0,03175;2,62502
0,03179;2,62562
0,03183;2,63111
0,03187;2,6351
0,03191;2,63776
0,03195;2,64079
0,03199;2,64243
0,03204;2,64422
0,03208;2,64892
0,03212;2,65025
0,03216;2,6522
0,03221;2,65909
0,03226;2,66001
0,0323;2,65652
0,03234;2,66091
0,03238;2,66455
0,03242;2,66863
0,03246;2,67217
0,0325;2,67379
0,03254;2,67704
0,03259;2,68003
0,03263;2,68208
0,03267;2,68363
0,03272;2,686
0,03276;2,69157
0,03281;2,69013
0,03285;2,69155
0,03289;2,69403
0,03292;2,69687
0,03296;2,70158
0,03301;2,70566
0,03305;2,70548
0,03309;2,70809
0,03314;2,71261
0,03318;2,71334
0,03322;2,71579
0,03327;2,72128
0,03332;2,72273
0,03336;2,72045
0,0334;2,72221
0,03344;2,72543
0,03347;2,7293
0,03352;2,73307
0,03356;2,73546
0,0336;2,73611
0,03364;2,74012
0,03369;2,74244
0,03373;2,74262
0,03378;2,74493
0,03382;2,74988
0,03386;2,7507
0,0339;2,75002
0,03394;2,7537
0,03398;2,75647
0,03402;2,75987
0,03407;2,7631
0,03411;2,76327
0,03415;2,76585
0,03419;2,7705
0,03424;2,77132
0,03428;2,77389
0,03433;2,77654
0,03438;2,77913
0,03442;2,77524
0,03446;2,77697
0,03449;2,78161
0,03453;2,78368
0,03457;2,78808
0,03462;2,79024
0,03466;2,7939
0,0347;2,79506
0,03475;2,79684
0,03479;2,79809
0,03483;2,79939
0,03488;2,804
0,03493;2,80503
0,03496;2,80518
0,03501;2,80828
0,03504;2,81007
0,03508;2,81277
0,03512;2,81582
0,03516;2,81863
0,03521;2,82146
0,03525;2,82392
0,0353;2,82332
0,03534;2,82533
0,03539;2,82961
0,03543;2,83165
0,03548;2,82801
0,03551;2,8319
0,03555;2,83501
0,03559;2,83661
0,03563;2,84028
0,03567;2,84276
0,03571;2,84359
0,03576;2,8493
0,03581;2,85101
0,03585;2,84996
0,03589;2,85174
0,03594;2,85672
0,03599;2,85696
0,03602;2,85669
0,03606;2,85888
0,0361;2,86071
0,03614;2,86424
0,03618;2,86722
0,03622;2,86909
0,03626;2,87247
0,03631;2,87649
0,03635;2,87897
0,0364;2,87893
0,03644;2,88202
0,03649;2,88457
0,03653;2,88038
0,03657;2,88251
0,03661;2,88612
0,03665;2,88873
0,03669;2,89268
0,03673;2,89493
0,03677;2,89448
0,03682;2,90032
0,03686;2,90089
0,0369;2,90066
0,03695;2,90173
0,037;2,90644
0,03704;2,90713
0,03708;2,90556
0,03712;2,90606
0,03716;2,9091
0,0372;2,9122
0,03724;2,91623
0,03728;2,91734
0,03732;2,91887
0,03737;2,9222
0,03741;2,92334
0,03745;2,92504
0,0375;2,92727
0,03755;2,93059
0,03759;2,92766
0,03763;2,92832
0,03767;2,93085
0,03771;2,93361
0,03775;2,93746
0,03779;2,93823
0,03783;2,93788
0,03787;2,94126
