Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0,03274;1,93763
0,03278;1,94282
0,03282;1,94203
0,03286;1,94541
0,0329;1,94792
0,03293;1,95154
0,03298;1,95267
0,03302;1,95628
0,03306;1,94987
0,0331;1,96187
0,03315;1,96123
0,0332;1,96805
0,03323;1,96434
0,03327;1,96072
0,03331;1,96463
0,03335;1,96836
0,03339;1,96941
0,03343;1,97502
0,03347;1,97483
0,03351;1,97601
0,03355;1,97844
0,03359;1,97519
0,03363;1,97144
0,03369;1,95614
0,03372;1,96999
0,03376;1,96802
0,0338;1,97086
0,03384;1,97243
0,03388;1,96745
0,03392;1,96756
0,03396;1,98292
0,034;1,99368
0,03404;2,00076
0,03408;1,97788
0,03412;1,98481
0,03417;2,01191
0,03422;1,97967
0,03426;1,97496
0,03429;1,99114
0,03433;1,99146
0,03437;2,0138
0,03441;2,00963
0,03445;2,00779
0,03449;2,00872
0,03453;2,01433
0,03458;2,01366
0,03462;2,02042
0,03466;2,0167
0,03471;2,01806
0,03474;2,02508
0,03478;2,01874
0,03482;2,01743
0,03486;2,01913
0,0349;2,01138
0,03494;2,02802
0,03498;2,0245
0,03502;2,02604
0,03506;2,02674
0,03511;2,02658
0,03515;2,01224
0,03519;2,01914
0,03524;2,03871
0,03528;2,03133
0,03531;2,02991
0,03535;2,03067
0,03539;2,03707
0,03543;2,03571
0,03547;2,03352
0,03551;2,0365
0,03556;2,03817
0,0356;2,03612
0,03564;2,03951
0,03568;2,03234
0,03573;2,03935
0,03577;2,03983
0,03581;2,03268
0,03584;2,04066
0,03588;2,04184
0,03592;2,04396
0,03596;2,04524
0,036;2,04596
0,03604;2,04906
0,03609;2,04935
0,03613;2,04884
0,03617;2,04797
0,03622;2,05095
0,03626;2,05186
0,0363;2,04806
0,03633;2,04762
0,03637;2,05361
0,03641;2,05097
0,03645;2,05425
0,03649;2,05195
0,03653;2,05294
0,03658;2,04874
0,03662;2,05564
0,03666;2,05183
0,0367;2,05452
0,03675;2,05916
0,03679;2,05352
0,03683;2,05197
0,03686;2,04838
0,0369;2,05662
0,03695;2,05517
0,03699;2,05615
0,03703;2,0558
0,03707;2,05979
0,03711;2,05504
0,03715;2,05752
0,03719;2,05626
0,03724;2,06752
0,03728;2,06553
0,03732;2,06545
0,03736;2,05738
0,03739;2,06472
0,03743;2,06735
0,03748;2,07218
0,03752;2,07068
0,03755;2,07254
0,0376;2,07342
0,03764;2,06765
0,03768;2,07569
0,03772;2,07858
0,03777;2,0803
0,03781;2,08016
0,03785;2,07758
0,03789;2,07058
0,03792;2,08273
0,03797;2,07564
0,03801;2,07726
0,03805;2,0836
0,03809;2,08344
0,03813;2,08425
0,03818;2,0858
0,03821;2,08412
0,03826;2,08905
0,0383;2,0924
0,03834;2,08505
0,03838;2,08405
0,03842;2,09131
0,03845;2,09049
0,0385;2,09386
0,03854;2,10097
0,03857;2,10027
0,03862;2,10436
0,03866;2,0972
0,0387;2,09789
0,03874;2,10201
0,03879;2,11031
0,03884;2,109
0,03887;2,10785
0,03891;2,10861
0,03895;2,10431
0,03899;2,10902
0,03903;2,11304
0,03907;2,11481
0,03911;2,11788
0,03915;2,11863
0,03919;2,11301
0,03923;2,11854
0,03928;2,12306
0,03933;2,12181
0,03937;2,11915
0,0394;2,12274
0,03944;2,12234
0,03948;2,12406
0,03952;2,12835
0,03956;2,12864
0,0396;2,13076
0,03964;2,13195
0,03969;2,13227
0,03972;2,13184
0,03977;2,13498
0,03981;2,13702
0,03986;2,13736
0,03989;2,13805
0,03993;2,13712
0,03997;2,13902
0,04001;2,14207
0,04005;2,14297
0,04009;2,14338
0,04013;2,14454
0,04018;2,14752
0,04022;2,14497
0,04026;2,14879
0,0403;2,14854
0,04035;2,15361
0,04039;2,15164
0,04042;2,14741
0,04046;2,14953
0,0405;2,15366
0,04054;2,15036
0,04058;2,15053
0,04062;2,1529
0,04066;2,1548
0,04071;2,15943
0,04074;2,14714
0,04079;2,16301
0,04084;2,157
0,04088;2,16312
0,04092;2,16575
0,04095;2,16155
0,04099;2,16428
0,04103;2,15401
0,04107;2,16556
0,04111;2,16498
0,04115;2,16705
0,0412;2,17399
0,04124;2,16762
0,04127;2,16879
0,04132;2,17349
0,04137;2,15638
0,04141;2,15262
0,04145;2,15821
0,04149;2,16039
0,04153;2,14916
0,04157;2,18286
0,04161;2,17535
0,04164;2,1751
0,04168;2,17876
0,04173;2,17907
0,04177;2,18077
0,04181;2,1886
0,04186;2,18443
0,0419;2,18224
0,04194;2,18212
0,04198;2,18229
0,04201;2,18076
0,04205;2,18755
0,04209;2,18862
0,04213;2,18583
0,04217;2,18688
0,04221;2,19125
0,04226;2,16969
0,0423;2,19506
0,04235;2,19355
0,04239;2,19248
0,04243;2,19112
0,04247;2,19681
0,0425;2,1911
0,04254;2,19187
0,04258;2,19708
0,04263;2,19488
0,04266;2,19387
0,04271;2,19754
0,04275;2,19596
0,04279;2,19488
0,04283;2,19771
0,04288;2,20883
0,04293;2,20174
0,04296;2,19555
0,043;2,19595
0,04303;2,2001
0,04308;2,20064
0,04311;2,20598
0,04315;2,20166
0,04319;2,20322
0,04324;2,20536
0,04328;2,20363
0,04332;2,20276
0,04337;2,20486
0,04341;2,19911
0,04345;2,19972
0,04349;2,19586
0,04353;2,20788
0,04357;2,20581
0,04361;2,20879
0,04365;2,20617
0,04368;2,20974
0,04372;2,20994
0,04377;2,20884
0,04381;2,2063
0,04386;2,20507
0,04391;2,20629
0,04395;2,20529
0,04398;2,20645
0,04402;2,20488
0,04406;2,20697
0,0441;2,20672
0,04414;2,20669
0,04418;2,206
0,04422;2,20225
0,04426;2,20891
0,0443;2,20948
0,04434;2,20963
0,04438;2,21362
0,04443;2,21693
0,04447;2,21178
0,04451;2,21075
0,04455;2,21005
0,04459;2,21338
0,04463;2,2136
0,04467;2,21113
0,04471;2,21117
0,04475;2,21487
0,04479;2,21424
0,04483;2,21378
0,04487;2,21369
0,04492;2,21381
0,04497;2,2089
0,045;2,20893
0,04504;2,20861
0,04508;2,20928
0,04512;2,21041
0,04516;2,2109
0,0452;2,20318
0,04524;2,21157
0,04528;2,21249
0,04532;2,21075
0,04536;2,21196
0,04541;2,21623
0,04545;2,21363
0,04549;2,20385
0,04553;2,21001
0,04557;2,2113
0,04561;2,21293
0,04565;2,21186
0,04569;2,21313
0,04573;2,20548
0,04577;2,21436
0,04581;2,21693
0,04585;2,20865
0,0459;2,21479
0,04594;2,21878
0,04599;2,21789
0,04603;2,21894
0,04606;2,21654
0,0461;2,2172
0,04614;2,21351
0,04618;2,20629
0,04622;2,21492
0,04626;2,21934
0,04631;2,22022
0,04634;2,21929
0,04638;2,21065
0,04643;2,21986
0,04647;2,2232
0,04652;2,22224
0,04656;2,2221
0,04659;2,21995
0,04663;2,21966
0,04667;2,22256
0,04671;2,22547
0,04675;2,22636
0,04679;2,2258
0,04684;2,2261
0,04688;2,22533
0,04692;2,2211
0,04697;2,22814
0,04701;2,2312
0,04705;2,22764
0,04708;2,22992
0,04712;2,22943
0,04716;2,23011
0,0472;2,23357
0,04724;2,23375
0,04728;2,2331
0,04732;2,23597
0,04737;2,23577
0,04741;2,23431
0,04745;2,23585
0,0475;2,24027
0,04754;2,23594
0,04758;2,23574
0,04761;2,23629
0,04765;2,23788
0,04769;2,24041
0,04773;2,24159
0,04777;2,24075
0,04781;2,24341
0,04786;2,24586
0,0479;2,24472
0,04794;2,24415
0,04798;2,24517
0,04803;2,24786
0,04807;2,24404
0,04811;2,24183
0,04814;2,24067
0,04818;2,24325
0,04822;2,24893
0,04827;2,2452
0,0483;2,24239
0,04834;2,24607
0,04839;2,24627
0,04843;2,24501
0,04847;2,25096
0,04852;2,25218
0,04856;2,24888
0,0486;2,24697
0,04864;2,24401
0,04868;2,24513
0,04871;2,24835
0,04876;2,23949
0,04879;2,23242
0,04883;2,23207
0,04888;2,2581
0,04893;2,25042
0,04896;2,2465
0,04901;2,23351
0,04905;2,25537
0,04909;2,2477
0,04912;2,24523
0,04916;2,24672
0,0492;2,24892
0,04925;2,24439
0,04929;2,2496
0,04932;2,24886
0,04937;2,25254
0,04941;2,2486
0,04945;2,24916
0,04949;2,25697
0,04954;2,25189
0,04959;2,25258
0,04962;2,25483
0,04966;2,24728
0,0497;2,24779
0,04973;2,24865
0,04978;2,25825
0,04982;2,2503
0,04986;2,25206
0,0499;2,25361
0,04994;2,24937
0,04998;2,24912
0,05003;2,25153
0,05007;2,25764
0,05011;2,24837
0,05015;2,24774
0,05019;2,248
0,05022;2,24959
0,05027;2,25151
0,05031;2,25717
0,05034;2,25035
0,05039;2,25378
0,05043;2,2496
0,05047;2,24765
0,05051;2,25091
0,05056;2,25429
0,05061;2,24966
0,05064;2,24692
0,05068;2,24824
0,05072;2,25616
0,05076;2,25042
0,0508;2,25029
0,05084;2,24915
0,05088;2,24778
0,05093;2,24932
0,05097;2,25169
0,05101;2,24949
0,05105;2,24965
0,0511;2,25232
0,05114;2,24832
0,05117;2,2489
0,05121;2,24795
0,05125;2,25103
0,05129;2,24931
0,05133;2,2502
0,05137;2,25146
0,05141;2,25195
0,05145;2,25255
0,05149;2,25095
0,05154;2,25163
0,05158;2,25419
0,05163;2,25471
0,05167;2,25126
0,0517;2,25111
0,05174;2,25135
0,05178;2,25309
0,05182;2,25723
0,05186;2,25582
0,0519;2,25454
0,05195;2,25703
0,05199;2,25686
0,05202;2,25173
0,05207;2,25475
0,05212;2,2607
0,05216;2,25537
0,0522;2,25458
0,05224;2,25554
0,05228;2,2552
0,05232;2,25586
0,05235;2,25552
0,05239;2,25648
0,05243;2,26027
0,05247;2,26259
0,05251;2,26002
0,05256;2,25925
0,05261;2,26234
0,05265;2,26267
0,05269;2,25887
0,05273;2,25852
0,05276;2,26037
0,0528;2,26154
0,05284;2,26296
0,05288;2,26144
0,05292;2,26269
0,05296;2,26587
0,05301;2,26916
0,05305;2,26724
0,05309;2,27064
0,05314;2,2711
0,05318;2,26848
0,05322;2,27067
0,05326;2,26945
0,05329;2,27057
0,05334;2,27227
0,05337;2,272
0,05341;2,27266
0,05346;2,2737
0,0535;2,27429
0,05353;2,27252
0,05358;2,27501
0,05363;2,27923
0,05367;2,27861
0,05371;2,27527
0,05375;2,27534
0,05378;2,27694
0,05382;2,28021
0,05386;2,28083
0,0539;2,28067
0,05394;2,2828
0,05399;2,28335
0,05403;2,28398
0,05407;2,28238
0,05411;2,28572
0,05416;2,28678
0,0542;2,28731
0,05424;2,28272
0,05428;2,28208
0,05432;2,28515
0,05436;2,28554
0,0544;2,28583
0,05443;2,28668
0,05447;2,28535
0,05452;2,29009
0,05456;2,287
0,0546;2,28662
0,05465;2,28933
0,05469;2,2874
0,05473;2,28547
0,05477;2,28193
0,0548;2,28421
0,05485;2,28686
0,05489;2,28739
0,05493;2,2856
0,05497;2,28419
0,05501;2,28641
0,05505;2,28681
0,05509;2,28421
0,05513;2,28805
0,05518;2,29002
0,05522;2,28735
0,05526;2,28581
0,0553;2,28414
0,05534;2,28743
0,05538;2,2883
0,05542;2,28928
0,05546;2,29022
0,0555;2,29298
0,05554;2,29247
0,05558;2,29021
0,05562;2,29123
0,05567;2,29613
0,05572;2,29841
0,05575;2,29485
0,05579;2,29481
0,05583;2,29291
0,05587;2,29818
0,05591;2,29795
0,05595;2,29899
0,05599;2,29786
0,05603;2,30205
0,05607;2,30405
0,05611;2,29947
0,05616;2,30389
0,0562;2,30393
0,05624;2,30042
0,05628;2,30016
