Local Peak Maximum (Comp. extension 1 % Change) : HoraalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;sec
Local Peak Maximum (Comp. extension 1 % Change) : CargaalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;N
Local Peak Maximum (Comp. extension 1 % Change) : Extensión por compresiónalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;mm
Local Peak Maximum (Comp. extension 1 % Change) : Esfuerzo de compresiónalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;MPa

Hora;Extensión;Carga
(sec);(mm);(N)
10,99800;-0,09841;-1360,41436
11,05400;-0,09883;-1362,92931
11,11800;-0,09931;-1365,44360
11,16200;-0,09961;-1368,03677
11,20800;-0,10003;-1370,55852
11,24000;-0,10027;-1373,09544
11,30200;-0,10081;-1375,65620
11,33800;-0,10110;-1378,33171
11,38400;-0,10152;-1380,85978
11,45200;-0,10212;-1383,40723
11,49400;-0,10242;-1385,99509
11,54800;-0,10290;-1388,54431
11,58800;-0,10326;-1391,12072
11,62800;-0,10367;-1393,65466
11,66000;-0,10403;-1396,20993
11,69200;-0,10433;-1398,71771
11,78800;-0,10517;-1401,23023
11,85800;-0,10565;-1403,73185
11,93200;-0,10625;-1406,23413
11,97600;-0,10654;-1408,81799
12,01200;-0,10684;-1411,38872
12,07200;-0,10732;-1413,97910
12,11600;-0,10768;-1416,55514
12,17000;-0,10816;-1419,09793
12,20200;-0,10840;-1421,60580
12,26600;-0,10894;-1424,10584
12,33000;-0,10941;-1426,64490
12,38400;-0,10983;-1429,23491
12,44200;-0,11031;-1431,77686
12,48200;-0,11061;-1434,35895
12,53600;-0,11109;-1436,89783
12,56800;-0,11139;-1439,40281
12,61400;-0,11181;-1441,96767
12,70000;-0,11252;-1444,50106
12,77200;-0,11312;-1447,00501
12,81400;-0,11348;-1449,65583
12,85000;-0,11384;-1452,15811
12,89400;-0,11432;-1454,77913
12,93400;-0,11468;-1457,38991
12,98200;-0,11515;-1459,91622
13,08200;-0,11593;-1462,43256
13,18000;-0,11665;-1464,94769
13,22600;-0,11701;-1467,51842
13,27000;-0,11737;-1470,09352
13,30600;-0,11767;-1472,68111
13,35800;-0,11808;-1475,22483
13,40400;-0,11850;-1477,73409
13,46600;-0,11898;-1480,25081
13,55200;-0,11970;-1482,78633
13,62200;-0,12018;-1485,31189
13,66800;-0,12054;-1487,85831
13,72400;-0,12101;-1490,42476
13,77400;-0,12143;-1493,03684
13,81200;-0,12179;-1495,53735
13,88000;-0,12239;-1498,04214
13,96400;-0,12305;-1500,57524
14,04200;-0,12370;-1503,12958
14,09600;-0,12412;-1505,76495
14,14000;-0,12454;-1508,26639
14,19800;-0,12514;-1510,85146
14,22800;-0,12544;-1513,39071
14,30000;-0,12604;-1515,90090
14,43600;-0,12705;-1518,47899
14,48200;-0,12741;-1520,98546
14,53400;-0,12783;-1523,52899
14,58800;-0,12831;-1526,04319
14,64400;-0,12873;-1528,58598
14,70000;-0,12921;-1531,08994
14,75200;-0,12962;-1533,64874
14,82600;-0,13022;-1536,14981
14,90600;-0,13082;-1538,71430
14,96600;-0,13130;-1541,26016
15,02400;-0,13184;-1543,76607
15,06600;-0,13225;-1546,32414
15,11600;-0,13267;-1548,86926
15,24000;-0,13369;-1551,43691
15,30800;-0,13423;-1553,98939
15,35800;-0,13465;-1556,61190
15,41000;-0,13518;-1559,25471
15,46000;-0,13566;-1561,80281
15,49200;-0,13596;-1564,32595
15,60200;-0,13692;-1566,83289
15,71000;-0,13776;-1569,37838
15,77400;-0,13823;-1571,97695
15,82600;-0,13865;-1574,55616
15,89000;-0,13919;-1577,07073
15,95200;-0,13967;-1579,62479
16,02000;-0,14027;-1582,16450
16,11200;-0,14092;-1584,74408
16,17800;-0,14146;-1587,24822
16,23400;-0,14194;-1589,84140
16,26800;-0,14224;-1592,35895
16,33600;-0,14290;-1594,86830
16,38800;-0,14332;-1597,44471
16,51200;-0,14433;-1599,94587
16,58400;-0,14493;-1602,52415
16,61800;-0,14529;-1605,03257
16,67600;-0,14583;-1607,54751
16,71000;-0,14613;-1610,05836
16,80800;-0,14696;-1612,61819
16,90800;-0,14774;-1615,17281
16,99400;-0,14840;-1617,71923
17,04800;-0,14882;-1620,31110
17,12400;-0,14941;-1622,88845
17,19800;-0,15001;-1625,46914
17,23200;-0,15025;-1627,99973
17,30600;-0,15085;-1630,50070
17,38600;-0,15151;-1633,00801
17,46200;-0,15216;-1635,51886
17,50600;-0,15252;-1638,03026
17,57800;-0,15318;-1640,59643
17,65600;-0,15384;-1643,13689
17,77000;-0,15474;-1645,71851
17,84000;-0,15533;-1648,22005
17,88000;-0,15575;-1650,86165
17,92800;-0,15617;-1653,41068
17,98000;-0,15671;-1655,98970
18,13000;-0,15796;-1658,52457
18,20200;-0,15850;-1661,03970
18,27800;-0,15910;-1663,54626
18,34600;-0,15964;-1666,04705
18,41200;-0,16018;-1668,55603
18,47600;-0,16065;-1671,07638
18,53400;-0,16113;-1673,61908
18,61200;-0,16179;-1676,17630
18,67800;-0,16233;-1678,68398
18,73600;-0,16281;-1681,19036
18,81600;-0,16352;-1683,69561
18,90400;-0,16430;-1686,23347
19,03000;-0,16532;-1688,82422
19,11600;-0,16604;-1691,36673
19,15600;-0,16639;-1693,90272
19,20800;-0,16693;-1696,41506
19,25600;-0,16735;-1698,94639
19,42600;-0,16873;-1701,45221
19,52000;-0,16944;-1703,96008
19,57000;-0,16986;-1706,48377
19,65600;-0,17052;-1709,09148
19,73400;-0,17118;-1711,70272
19,80000;-0,17166;-1714,20760
19,87200;-0,17225;-1716,71137
19,93400;-0,17273;-1719,24494
20,02200;-0,17351;-1721,78727
20,07200;-0,17399;-1724,30743
20,19800;-0,17500;-1726,80840
20,31200;-0,17590;-1729,36339
20,36800;-0,17644;-1731,90683
20,41200;-0,17686;-1734,44226
20,45800;-0,17728;-1736,97826
20,60600;-0,17859;-1739,50307
20,75600;-0,17973;-1742,02677
20,82400;-0,18027;-1744,56183
20,87200;-0,18062;-1747,07714
20,93600;-0,18116;-1749,60606
21,01200;-0,18176;-1752,12994
21,07400;-0,18230;-1754,64135
21,17200;-0,18308;-1757,15871
21,26600;-0,18391;-1759,72767
21,33200;-0,18451;-1762,27912
21,43600;-0,18541;-1764,78624
21,56000;-0,18636;-1767,29187
21,63200;-0,18702;-1769,82265
21,67800;-0,18744;-1772,33163
21,72600;-0,18798;-1774,93487
21,92600;-0,18953;-1776,39052
22,03200;-0,19037;-1778,97383
22,07200;-0,19067;-1781,52118
22,12600;-0,19115;-1784,02755
22,22200;-0,19192;-1786,53188
22,30800;-0,19264;-1789,07961
22,42000;-0,19348;-1791,63087
22,49600;-0,19414;-1794,14656
22,54800;-0,19456;-1796,75799
22,63000;-0,19533;-1799,28020
22,81800;-0,19677;-1801,79384
22,87200;-0,19725;-1804,38142
22,92600;-0,19778;-1806,91909
22,98400;-0,19832;-1809,50966
23,04600;-0,19892;-1812,08029
23,24600;-0,20047;-1813,73172
23,33400;-0,20113;-1816,26342
23,40800;-0,20173;-1818,80835
23,45200;-0,20209;-1821,32628
23,53800;-0,20287;-1823,88704
23,63400;-0,20364;-1826,41931
23,72800;-0,20442;-1828,96797
23,83800;-0,20532;-1831,50973
23,89600;-0,20586;-1834,04535
24,04800;-0,20705;-1836,54744
24,12800;-0,20777;-1839,12497
24,16600;-0,20813;-1841,64457
24,25800;-0,20902;-1844,15299
24,45600;-0,21064;-1846,66403
24,54600;-0,21136;-1849,22796
24,66400;-0,21225;-1851,78351
24,71200;-0,21267;-1854,33254
24,78200;-0,21327;-1856,87989
24,86600;-0,21399;-1859,41253
25,03000;-0,21524;-1862,01427
25,07800;-0,21566;-1864,53760
25,13400;-0,21614;-1867,10395
25,31800;-0,21769;-1869,62597
25,40000;-0,21841;-1872,12769
25,44200;-0,21883;-1874,66722
25,48600;-0,21925;-1877,20489
25,68600;-0,22086;-1877,59027
25,78400;-0,22158;-1880,09311
25,85400;-0,22212;-1882,62705
25,90600;-0,22254;-1885,16341
25,99200;-0,22325;-1887,73554
26,08600;-0,22403;-1890,24303
26,20800;-0,22505;-1892,75555
26,32000;-0,22594;-1895,30086
26,38000;-0,22648;-1897,83350
26,45000;-0,22714;-1900,41717
26,63800;-0,22875;-1902,97514
26,71800;-0,22947;-1905,53758
26,76600;-0,22995;-1908,03893
26,96600;-0,23156;-1910,15527
27,06800;-0,23234;-1912,70560
27,19200;-0,23330;-1915,22874
27,25400;-0,23384;-1917,76212
27,32600;-0,23437;-1920,31935
27,42200;-0,23515;-1922,86503
27,53000;-0,23605;-1925,38779
27,60800;-0,23677;-1927,90087
27,71400;-0,23772;-1930,41321
27,88200;-0,23910;-1932,98217
27,96200;-0,23988;-1935,50847
27,99200;-0,24017;-1938,06048
28,19200;-0,24179;-1939,10487
28,30000;-0,24263;-1941,68687
28,42200;-0,24352;-1944,28973
28,48200;-0,24400;-1946,81678
28,55600;-0,24466;-1949,36898
28,66800;-0,24556;-1951,89677
28,78600;-0,24651;-1954,45698
28,86000;-0,24717;-1956,99688
29,05400;-0,24878;-1959,51648
29,14200;-0,24956;-1962,05992
29,22600;-0,25040;-1964,56611
29,32000;-0,25118;-1967,07658
29,52000;-0,25279;-1969,40061
29,64400;-0,25375;-1971,98316
29,72200;-0,25440;-1974,49829
29,82600;-0,25524;-1977,04118
29,98600;-0,25650;-1979,61479
30,06400;-0,25715;-1982,13886
30,10200;-0,25757;-1984,76743
30,30200;-0,25925;-1986,45759
30,41400;-0,26020;-1989,02432
30,46200;-0,26074;-1991,55230
30,54000;-0,26146;-1994,08960
30,74000;-0,26301;-1994,53570
30,86000;-0,26391;-1997,08939
30,92800;-0,26445;-1999,64959
31,00200;-0,26505;-2002,21911
31,14800;-0,26618;-2004,73666
31,27600;-0,26720;-2007,24136
31,34200;-0,26780;-2009,76320
31,38200;-0,26822;-2012,32862
31,58200;-0,26983;-2013,60136
31,69400;-0,27085;-2016,12264
31,73600;-0,27126;-2018,63404
